kabupaten,tahun,bulan,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR
Lampung Selatan,2023,1,18.219032258064516,26.63967741935484,28.635806451612904,25.04774193548387,85.43129032258064,273.48
Lampung Selatan,2023,2,16.90607142857143,26.665714285714284,28.626785714285713,24.933214285714286,84.69928571428571,346.8
Lampung Selatan,2023,3,19.338709677419356,27.056451612903224,29.03258064516129,25.36967741935484,84.12193548387097,270.06
Lampung Selatan,2023,4,20.0,27.456,29.358666666666668,25.918333333333333,83.86533333333334,111.42
Lampung Selatan,2023,5,17.43548387096774,28.143870967741936,29.838064516129034,26.766774193548386,82.25193548387097,141.63
Lampung Selatan,2023,6,15.589666666666666,27.65266666666667,29.36466666666667,26.25766666666667,82.99566666666666,133.94
Lampung Selatan,2023,7,15.858064516129032,27.19741935483871,29.030645161290323,25.72483870967742,82.22129032258064,181.85999999999999
Lampung Selatan,2023,8,19.356451612903225,27.14032258064516,29.669032258064515,25.167096774193546,79.27548387096775,49.65
Lampung Selatan,2023,9,22.101999999999997,27.944333333333336,31.729,25.103666666666665,72.35866666666666,3.55
Lampung Selatan,2023,10,22.809354838709677,29.61741935483871,33.589354838709674,26.56,67.78999999999999,12.93
Lampung Selatan,2023,11,18.096,29.063333333333333,32.291666666666664,26.714,76.22233333333334,128.55
Lampung Selatan,2023,12,18.908709677419353,28.425161290322578,31.470645161290324,26.203548387096774,77.55645161290323,119.14
Lampung Selatan,2024,1,17.054193548387094,27.686451612903223,29.774193548387096,26.017096774193547,84.46870967741935,330.95
